Year	Sex	Height	Name
1988	m	1.76	Theo
1978	m	1.74	Luca Logan
1977	m	1.67	Ashton Shane
1988	m	1.90	Sawyer Colby Logan
1956	m	1.77	Spencer Ashton
1993	f	1.62	Aubrey Hayden Jordan
1960	m	1.76	Colby Theo Ryan
1983	m	1.82	Reid Colby
1990	m	1.84	Noah Hunter
1987	m	1.81	Ellis Logan Jesse
1967	f	1.60	Harper Hayden Madison
1993	m	1.70	Sawyer Ryan Shane
1994	m	1.86	Sawyer
1955	f	1.65	Alexis Jordan Hayden
1998	m	1.90	Ryan Ellis Colby
1987	f	1.65	Casey
1993	d	1.81	Shane Kai Logan
1967	d	1.81	Micah Colby
1951	m	1.66	Micah
1958	m	1.88	Shane
1980	m	1.73	Jesse Kai Parker
1994	f	1.59	Reagan
1959	d	1.53	Jesse Ryan
1956	d	1.76	Parker Kai Hunter
1965	m	1.89	Lane
1987	m	1.81	Ryan Micah Jesse
1975	f	1.60	Riley Bailey
1954	m	1.68	Ashton Micah Luca
1950	f	1.67	Morgan Reagan
1988	f	1.56	Harper Peyton
1998	m	1.88	Ashton
1960	f	1.80	Taylor Peyton Aubrey
1985	f	1.60	Rowan Taylor
1957	f	1.65	Sierra Kelsey
1975	m	1.86	Ellis Shane Spencer
1984	m	1.91	Spencer Noah
1976	m	1.98	Noah Spencer
1991	f	1.77	Aubrey Rowan
1954	f	1.64	Quinn Madison Skylar
1991	m	1.74	Hunter
1962	m	1.63	Jesse
1958	d	1.59	Shane
1963	f	1.80	Quinn Peyton Rowan
1973	f	1.71	Taylor Morgan Quinn
1973	m	1.74	Ellis
1987	d	1.71	Theo Micah
1960	f	1.74	Riley Madison
1990	d	1.88	Bailey Sierra
1955	f	1.66	Madison
1963	m	1.67	Finn Hunter
1978	m	1.65	Theo
1997	m	1.77	Micah Lane
1965	f	1.79	Jordan Alexis
1987	f	1.51	Rowan Sydney
1977	f	1.63	Sierra Skylar Jordan
1979	m	1.88	Logan
1972	m	1.81	Parker Ellis
1956	f	1.78	Skylar Alexis Jordan
1972	m	1.82	Jesse
1961	m	1.81	Luca Micah
1952	f	1.70	Harper Taylor
1985	m	1.90	Shane
1969	d	1.79	Harper Peyton
1999	m	1.74	Colby
1971	f	1.63	Taylor
1974	f	1.51	Jordan Bailey
1987	f	1.65	Bailey Morgan Harper
1974	f	1.67	Quinn
1984	m	1.80	Reid
1986	d	1.65	Hunter
1950	m	1.72	Ryan Reid
1976	m	1.77	Jesse Micah Theo
1991	f	1.55	Aubrey
1964	f	1.80	Morgan Dakota Rowan
1959	f	1.63	Rowan Dakota Aubrey
1957	m	1.82	Reid Lane Noah
1991	f	1.64	Alexis
1951	m	1.73	Reid Ellis Noah
1984	f	1.61	Taylor Jordan
1972	f	1.52	Morgan
1997	f	1.70	Quinn
1970	m	1.68	Elliot
1955	d	1.73	Luca Logan Kai
1961	d	1.62	Peyton Bailey Sierra
1989	m	1.70	Theo
1995	m	1.77	Theo
1986	m	1.84	Parker
1967	d	1.77	Morgan Aubrey Peyton
1986	m	1.81	Shane
1999	f	1.62	Sydney Rowan
1974	f	1.71	Riley
1985	m	1.76	Lane Shane Ryan
1986	m	1.85	Colby
1969	m	1.73	Spencer Reid Jesse
1957	f	1.54	Dakota Hayden Quinn
1985	f	1.60	Hayden Aubrey
1988	f	1.57	Casey Bailey Riley
1988	f	1.75	Dakota Quinn
1984	d	1.63	Ashton
1971	d	1.73	Luca Sawyer
1992	m	1.86	Spencer
1976	f	1.78	Jordan Taylor
1952	f	1.61	Dakota Riley Reagan
1997	d	1.79	Quinn
1968	m	1.94	Ashton Noah
1987	f	1.58	Riley
1983	m	1.87	Logan Reid
1992	f	1.74	Skylar Bailey
1975	f	1.51	Riley Quinn Hayden
1965	f	1.70	Taylor Alexis
1968	f	1.79	Aubrey Riley Jordan
1988	m	1.79	Ryan
1981	f	1.50	Jordan Kelsey
1959	f	1.62	Rowan
1966	f	1.65	Aubrey Alexis
1979	f	1.64	Reagan
1953	m	1.79	Micah
1973	f	1.61	Taylor
1961	f	1.63	Casey Alexis Aubrey
1961	f	1.66	Kelsey Bailey
1967	m	1.92	Sawyer
1972	m	1.73	Reid Ashton Shane
1971	m	1.82	Jesse Elliot Shane
1993	m	1.85	Finn Spencer
1975	f	1.62	Sydney Madison Sierra
1953	m	1.90	Ashton Kai Spencer
1967	m	1.88	Shane
1967	m	1.83	Sawyer Luca Hunter
1970	f	1.71	Peyton
1982	m	1.86	Micah Finn
1962	d	1.62	Sydney Morgan Casey
1956	m	1.71	Colby Noah Micah
1998	f	1.60	Alexis Taylor
1991	m	1.72	Ellis Spencer
1956	f	1.66	Reagan Kelsey
1973	f	1.56	Harper Taylor Peyton
1959	m	1.85	Colby Lane Hunter
1983	m	1.76	Sawyer Hunter
1978	m	1.90	Parker Lane Logan
1965	f	1.57	Rowan Quinn
1951	f	1.61	Sierra Sydney Bailey
1951	m	1.86	Luca Ellis
1981	f	1.46	Harper
1991	m	1.76	Hunter
1955	m	1.71	Reid
1955	m	1.82	Spencer
1952	f	1.63	Peyton Alexis Riley
1963	d	1.66	Ashton
1986	d	1.75	Ellis Luca
1958	m	1.69	Shane Lane Parker
1995	d	1.84	Spencer
1963	f	1.64	Kelsey Reagan Sierra
1970	m	1.84	Finn Lane
1989	m	1.72	Shane Elliot
1964	m	1.79	Micah
1992	f	1.75	Alexis Sierra Reagan
1951	f	1.64	Bailey Madison Sierra
1957	f	1.61	Reagan
1990	f	1.66	Bailey
1977	m	1.81	Noah
1994	m	1.88	Micah Finn Lane
1973	m	1.67	Jesse
1955	f	1.65	Aubrey
1984	m	1.70	Luca Logan
1983	m	1.86	Reid
1960	m	1.88	Hunter Luca
1983	f	1.68	Skylar
1973	f	1.69	Skylar Dakota Peyton
1986	f	1.61	Bailey Riley
1951	f	1.49	Reagan
1990	m	1.66	Hunter Noah
1976	m	1.77	Finn
1990	f	1.66	Alexis
1967	m	1.78	Spencer Micah
1964	m	1.76	Kai Hunter
1997	d	1.67	Bailey
1985	f	1.61	Peyton Reagan
1971	f	1.65	Reagan Aubrey Dakota
1996	d	1.65	Bailey Hayden
1995	f	1.73	Sydney Riley
1957	f	1.57	Reagan Morgan Casey
1998	f	1.59	Reagan Riley
1988	m	1.78	Jesse
1958	f	1.61	Aubrey Skylar Morgan
1969	f	1.60	Skylar
1991	f	1.69	Riley Hayden
1998	f	1.57	Quinn Jordan
1963	m	1.72	Theo Lane Hunter
1984	m	1.75	Kai
1958	f	1.65	Riley
1975	m	2.01	Logan
1988	f	1.71	Rowan Skylar
1997	m	1.85	Jesse Ryan Logan
1989	f	1.70	Rowan Peyton
1999	m	1.88	Ryan Jesse
1987	m	1.84	Ashton Colby Micah
1952	f	1.63	Sierra
1965	d	1.44	Madison Kelsey
1975	m	1.71	Ellis
1973	d	1.61	Alexis
1993	f	1.69	Peyton Madison Skylar
1967	f	1.60	Madison Sydney
1963	d	1.59	Sydney Morgan
1996	f	1.63	Reagan Harper Taylor
1958	m	1.70	Elliot Lane
1957	m	1.85	Reid
1985	f	1.47	Bailey
1972	f	1.79	Aubrey
1982	f	1.54	Rowan
1992	m	1.70	Logan Parker
1958	m	1.82	Ryan Micah Sawyer
1985	f	1.67	Morgan
1975	m	1.76	Logan Ryan
1990	f	1.71	Dakota
1970	m	1.86	Ryan Sawyer
1956	m	1.90	Logan Theo
1999	f	1.72	Harper Dakota Rowan
1985	m	1.61	Spencer Noah Parker
1968	m	1.72	Jesse
1984	f	1.61	Morgan
1968	f	1.61	Sydney Sierra
1997	m	1.88	Micah
1992	f	1.71	Peyton Dakota Quinn
1973	f	1.63	Riley Hayden Jordan
1976	f	1.63	Alexis Dakota Kelsey
1992	m	1.94	Ellis
1995	f	1.63	Taylor Casey
1957	m	1.75	Finn Kai
